Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 34 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#442 Lindblad, Bjørn
Division Production Class U Category S. Senior Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.4076 104 17 6 1 0 0 0 0 30.52
2 4.5455 49 9 1 1 0 0 0 0 10.78
3 3.4451 112 20 4 0 0 0 0 0 32.51
4 3.5999 142 26 4 0 0 2 0 0 33.89
5 3.7993 106 17 7 0 0 0 0 0 27.90
6 4.8000 54 9 3 0 0 0 0 0 11.25
7 3.1755 112 16 8 8 0 0 0 0 35.27
8 1.9917 53 10 1 0 0 0 0 0 26.61
9 3.2887 108 18 6 0 0 0 0 0 32.84
10 4.0093 103 18 4 1 0 0 0 0 25.69
11 0.0000 28 5 1 0 0 3 0 0 8.23
12 3.9243 56 10 2 0 0 0 0 0 14.27
13 3.2182 147 27 4 0 0 1 0 0 42.57
14 3.1423 95 15 6 2 0 1 0 0 27.05
15 1.6738 106 21 0 1 0 2 0 0 51.38
16 4.8309 50 7 5 0 0 0 0 0 10.35
17 5.5249 60 12 0 0 0 0 0 0 10.86
18 2.5000 44 7 3 0 0 1 0 0 13.60
19 4.8110 42 7 2 1 0 0 0 0 8.73
#443 Leischner, Christian
Division Standard Class U Category Senior Factor Major Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.0815 113 17 7 0 0 0 0 0 36.67
2 5.1675 54 10 1 0 0 0 0 0 10.45
3 2.7987 109 17 6 0 0 1 1 0 31.80
4 4.1067 157 29 3 0 0 0 0 0 38.23
5 1.7505 88 10 9 1 0 4 0 0 27.42
6 4.9906 53 7 4 1 0 0 0 0 10.62
7 4.5318 151 25 6 1 0 0 0 0 33.32
8 2.7778 53 9 2 0 0 0 0 0 19.08
9 3.5306 108 14 9 1 0 0 0 0 30.59
10 3.3704 112 20 3 0 0 0 0 0 33.23
11 3.3467 35 5 2 1 0 1 0 0 7.47
12 0.7020 41 5 4 0 0 3 0 0 15.67
13 3.7383 140 20 8 4 0 0 0 0 37.45
14 3.3224 91 5 14 5 0 0 0 0 27.39
15 1.5372 95 15 5 0 0 4 0 0 35.78
16 4.7386 58 10 2 0 0 0 0 0 12.24
17 5.7201 56 10 1 1 0 0 0 0 9.79
18 4.1935 52 8 3 0 0 0 0 0 12.40
19 5.2455 47 7 3 0 0 0 0 0 8.96
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 35 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#444 Antonisen, Henrik
Division Standard Class U Category Senior Factor Minor Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.9455 110 20 3 1 0 0 0 0 27.88
2 5.5229 47 7 4 0 0 0 0 0 8.51
3 3.7809 108 20 2 2 0 0 1 0 25.92
4 4.9618 156 30 2 0 0 0 0 0 31.44
5 3.7308 107 19 4 0 0 1 0 0 26.00
6 3.3365 45 7 3 1 0 1 0 0 10.49
7 3.7598 134 20 11 1 0 0 0 0 35.64
8 2.2235 48 9 1 0 0 1 0 0 17.09
9 3.1407 94 14 7 3 0 0 0 0 29.93
10 3.6799 109 20 3 0 0 0 0 0 29.62
11 4.1032 35 4 5 0 0 0 0 0 8.53
12 3.4953 51 9 2 0 0 1 0 0 11.73
13 4.1465 120 18 8 6 0 0 0 0 28.94
14 4.5377 106 18 5 1 0 0 0 0 23.36
15 2.4114 93 14 7 2 0 1 0 0 34.42
16 4.0134 48 6 6 0 0 0 0 0 11.96
17 5.1380 54 9 3 0 0 0 0 0 10.51
18 3.1633 49 8 3 0 0 0 0 0 15.49
19 4.5862 46 8 2 0 0 0 0 0 10.03
#449 Gottschalk, Lars
Division Production Optics Class U Category Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.8897 98 17 3 4 0 0 0 0 51.86
2 2.2282 43 7 2 2 0 0 1 0 14.81
3 2.4390 108 19 4 1 0 0 0 0 44.28
4 2.3950 148 29 1 0 0 2 0 1 49.27
5 2.6610 112 20 4 0 0 0 0 0 42.09
6 2.8571 54 9 3 0 0 0 0 0 18.90
7 2.3206 140 23 8 1 0 0 0 0 60.33
8 2.8060 47 8 2 1 0 0 0 0 16.75
9 1.9146 104 18 4 2 0 0 0 0 54.32
10 2.3398 107 20 2 1 0 0 0 0 45.73
11 0.0850 31 5 2 0 0 2 1 0 11.76
12 1.3658 43 7 2 2 0 1 1 0 16.84
13 2.2209 125 19 9 3 0 1 0 0 51.78
14 1.3913 90 16 3 1 0 4 0 1 28.75
15 1.1082 95 17 3 1 0 3 0 1 49.63
16 3.0999 58 11 1 0 0 0 0 0 18.71
17 3.0837 56 10 2 0 0 0 0 0 18.16
18 2.5142 53 10 1 0 0 0 0 0 21.08
19 2.3576 36 3 7 0 0 0 0 0 15.27
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 36 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#459 De Ruiter, Michiel
Division Production Class U Category Senior Factor Minor Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.6142 89 13 8 0 0 3 0 0 36.55
2 2.7206 41 5 5 1 0 0 0 0 15.07
3 1.6714 103 18 4 1 0 1 1 0 49.66
4 3.2473 142 26 4 0 0 2 1 0 34.49
5 1.9885 89 13 8 0 0 3 0 0 29.67
6 2.7368 52 9 2 1 0 0 0 0 19.00
7 3.6132 142 23 9 0 0 0 0 0 39.30
8 1.3717 51 9 2 0 0 0 0 0 37.18
9 1.8117 71 6 12 5 0 1 0 0 33.67
10 2.0604 95 17 3 1 0 2 0 0 36.40
11 4.0043 37 6 2 1 0 0 0 0 9.24
12 1.2573 46 8 2 0 0 2 0 0 20.68
13 3.3658 134 23 6 1 0 2 0 0 33.87
14 2.4950 97 15 7 1 0 1 0 0 34.87
15 0.9471 76 9 10 1 0 4 0 0 38.01
16 1.9391 56 10 2 0 0 0 0 0 28.88
17 3.8952 58 11 1 0 0 0 0 0 14.89
18 3.4216 53 10 1 0 0 0 0 0 15.49
19 1.6701 36 6 2 0 0 2 0 0 9.58
#461 Luersen, Oliver
Division Classic Class U Category Senior Factor Major Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.5457 101 17 3 2 0 2 0 1 27.89
2 4.6561 54 10 1 0 0 0 1 0 9.45
3 3.3786 112 20 2 2 0 0 0 0 33.15
4 3.0717 139 23 5 2 0 2 1 1 32.23
5 3.5055 112 18 5 1 0 0 0 0 31.95
6 4.3619 54 8 3 1 0 0 0 0 12.38
7 4.0476 153 25 7 0 0 0 0 0 37.80
8 3.0654 53 9 2 0 0 0 0 0 17.29
9 3.2385 107 13 10 1 0 0 0 0 33.04
10 3.0699 108 18 4 1 0 0 0 0 35.18
11 3.5821 36 4 3 2 0 0 0 0 10.05
12 2.9703 48 6 3 3 0 0 0 0 16.16
13 3.5644 128 18 7 5 0 2 0 0 30.30
14 2.7878 92 12 7 2 0 3 0 0 22.24
15 1.5773 90 10 9 2 0 3 0 0 38.04
16 4.7743 55 7 5 0 0 0 0 0 11.52
17 4.5566 56 8 4 0 0 0 0 0 12.29
18 3.0935 43 3 6 2 0 0 0 0 13.90
19 2.7318 38 4 3 3 0 0 0 0 13.91
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 37 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#462 Luersen, Mieke
Division Production Class U Category S. Junior Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.3344 92 12 10 2 0 0 0 0 39.41
2 2.9396 55 11 0 0 0 0 0 0 18.71
3 1.2980 96 15 7 0 0 2 0 0 58.55
4 2.9555 152 28 4 0 0 0 0 0 51.43
5 2.3845 105 18 5 0 0 1 0 0 39.84
6 3.8069 56 10 2 0 0 0 0 0 14.71
7 2.7481 131 20 10 1 0 1 0 0 44.03
8 2.0536 49 8 3 0 0 0 0 0 23.86
9 1.4695 87 12 9 0 0 3 0 0 38.79
10 1.7613 100 18 3 1 0 1 0 0 51.10
11 3.6758 39 7 1 1 0 0 0 0 10.61
12 2.0743 48 7 4 1 0 0 0 0 23.14
13 1.8995 122 21 5 2 0 4 0 0 43.17
14 2.5268 83 12 6 5 0 1 0 0 28.89
15 1.2236 85 11 10 0 0 3 0 0 44.95
16 3.2300 50 8 3 1 0 0 0 0 15.48
17 2.9637 58 11 1 0 0 0 0 0 19.57
18 1.9647 49 8 3 0 0 0 0 0 24.94
19 2.8003 38 5 4 1 0 0 0 0 13.57
#463 Dell, Andreas
Division Optics Class U Category S. Senior Factor Minor Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.1035 94 15 6 1 0 2 0 0 35.18
2 5.3261 49 8 3 0 0 0 0 0 9.20
3 3.4238 106 18 5 1 0 0 0 0 30.96
4 3.7127 148 26 6 0 0 0 1 0 37.17
5 3.3777 104 17 6 1 0 0 0 0 30.79
6 4.5022 52 9 2 1 0 0 0 0 11.55
7 3.4930 150 28 3 1 0 0 0 1 40.08
8 4.6448 51 9 2 0 0 0 0 0 10.98
9 2.6528 102 17 5 2 0 0 0 0 38.45
10 4.0332 107 19 4 0 0 0 0 0 26.53
11 4.0842 33 4 4 1 0 0 0 0 8.08
12 3.2079 52 8 4 0 0 0 0 0 16.21
13 3.8639 142 23 9 0 0 0 0 0 36.75
14 3.5021 92 12 10 2 0 0 0 0 26.27
15 1.1497 84 13 6 1 0 4 0 0 38.27
16 3.1357 46 6 5 1 0 0 0 0 14.67
17 3.4188 52 9 2 1 0 0 0 0 15.21
18 3.5347 55 11 0 0 0 0 0 0 15.56
19 4.0816 48 9 1 0 0 0 0 0 11.76
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 38 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#467 Hansen, Flemming
Division Open Class U Category S. Senior Factor Major Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.8952 110 18 4 2 0 0 0 0 28.24
2 5.6760 55 11 0 0 0 0 0 0 9.69
3 4.1254 110 20 2 1 0 1 0 0 24.24
4 5.6902 155 29 2 1 0 0 0 0 27.24
5 3.8462 112 20 3 0 0 1 0 0 26.52
6 3.9585 52 8 3 0 0 1 0 0 10.61
7 3.9563 152 24 8 0 0 0 0 0 38.42
8 6.0976 55 11 0 0 0 0 0 0 9.02
9 3.1813 113 17 7 0 0 0 0 0 35.52
10 4.6304 114 22 1 0 0 0 0 0 24.62
11 5.4902 42 6 3 0 0 0 0 0 7.65
12 5.4228 59 11 1 0 0 0 0 0 10.88
13 5.5069 151 27 3 2 0 0 0 0 27.42
14 5.0153 115 19 5 0 0 0 0 0 22.93
15 2.6923 101 15 5 3 0 1 0 0 33.80
16 5.7312 58 10 2 0 0 0 0 0 10.12
17 5.5437 52 8 2 2 0 0 0 0 9.38
18 3.7535 53 9 2 0 0 0 0 0 14.12
19 5.1054 46 6 4 0 0 0 0 0 9.01
#469 Lynch, Alan
Division Production Class U Category Factor Minor Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.2229 108 19 4 1 0 0 0 0 33.51
2 4.4861 55 11 0 0 0 0 0 0 12.26
3 2.7845 104 17 6 1 0 0 0 0 37.35
4 3.8338 141 24 7 0 0 1 0 0 34.17
5 3.4166 108 18 6 0 0 0 0 0 31.61
6 5.2261 52 10 0 2 0 0 0 0 9.95
7 4.0924 140 23 8 1 0 0 0 0 34.21
8 1.9646 51 9 2 0 0 0 0 0 25.96
9 2.3256 83 11 8 4 0 1 0 0 31.39
10 3.2542 106 20 2 0 0 1 0 0 29.50
11 4.4521 39 6 3 0 0 0 0 0 8.76
12 2.8884 47 8 2 1 0 1 0 0 12.81
13 4.0548 148 28 2 2 0 0 0 0 36.50
14 3.0046 95 15 6 2 0 1 0 0 28.29
15 2.0994 96 15 7 0 0 2 0 0 36.20
16 3.4795 50 8 3 1 0 0 0 0 14.37
17 3.8862 56 10 2 0 0 0 0 0 14.41
18 3.1757 47 7 4 0 0 0 0 0 14.80
19 2.4155 40 6 3 1 0 0 0 0 16.56
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 39 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#471 Koudelka, Petr
Division Open Class U Category Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.1523 112 20 4 0 0 0 0 0 35.53
2 5.1202 49 8 3 0 0 0 0 0 9.57
3 3.9188 112 21 2 1 0 0 0 0 28.58
4 6.4220 154 29 3 0 0 0 0 0 23.98
5 3.3509 108 19 4 1 0 0 0 0 32.23
6 3.2207 51 9 2 0 0 1 0 0 12.73
7 4.0816 144 24 8 0 0 0 0 0 35.28
8 3.1471 49 9 1 1 0 0 0 0 15.57
9 3.3506 110 20 3 1 0 0 0 0 32.83
10 3.9785 111 21 2 0 0 0 0 0 27.90
11 3.8978 29 3 4 2 0 0 0 0 7.44
12 3.4993 52 9 2 1 0 0 0 0 14.86
13 4.0584 150 27 5 0 0 0 0 0 36.96
14 3.7305 98 13 11 0 0 0 0 0 26.27
15 1.8955 98 18 2 2 0 2 0 0 41.15
16 5.7426 58 11 1 0 0 0 0 0 10.10
17 4.4412 60 12 0 0 0 0 0 0 13.51
18 3.1454 53 10 1 0 0 0 0 0 16.85
19 3.8217 42 7 2 1 0 0 0 0 10.99
#474 Spence, Martyn
Division Production Optics Class U Category S. Senior Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.8472 114 21 3 0 0 0 0 0 40.04
2 3.6003 49 8 3 0 0 0 0 0 13.61
3 2.7507 110 19 5 0 0 0 0 0 39.99
4 4.2781 152 29 2 1 0 0 0 0 35.53
5 3.5817 112 20 4 0 0 0 0 0 31.27
6 3.8564 58 11 1 0 0 0 0 0 15.04
7 3.7575 150 27 5 0 0 0 0 0 39.92
8 3.5169 53 10 1 0 0 0 0 0 15.07
9 2.5472 108 19 4 1 0 0 0 0 42.40
10 2.5362 105 19 3 1 0 0 0 0 41.40
11 2.2090 36 6 2 0 0 1 0 0 11.77
12 2.7996 60 12 0 0 0 0 1 0 17.86
13 3.7172 143 25 6 0 0 1 0 0 35.78
14 3.8296 116 22 2 0 0 0 0 0 30.29
15 1.1445 97 18 2 1 0 3 0 0 58.54
16 4.6765 60 12 0 0 0 0 0 0 12.83
17 3.6058 60 12 0 0 0 0 0 0 16.64
18 3.3823 53 10 1 0 0 0 0 0 15.67
19 3.0988 48 9 1 0 0 0 0 0 15.49
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 40 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#475 Gudbrand, Mikkel
Division Open Class U Category Senior Factor Major Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.6776 103 13 8 3 0 0 0 0 22.02
2 6.4871 53 9 2 0 0 0 0 0 8.17
3 4.4913 113 17 7 0 0 0 0 0 25.16
4 7.2736 147 23 7 2 0 0 0 0 20.21
5 4.7174 106 16 5 3 0 0 0 0 22.47
6 8.2531 60 12 0 0 0 0 0 0 7.27
7 5.4448 142 18 12 2 0 0 0 0 26.08
8 5.7631 54 10 1 0 0 0 0 0 9.37
9 4.1647 100 12 9 2 0 1 0 0 21.61
10 3.4893 101 17 3 2 0 1 0 0 26.08
11 6.5705 41 7 1 1 0 0 0 0 6.24
12 2.6557 49 9 1 0 0 2 0 0 10.92
13 5.5685 143 21 8 3 0 0 0 0 25.68
14 4.4094 101 15 5 3 0 1 1 0 18.37
15 3.0050 97 9 11 4 0 0 0 0 32.28
16 6.6511 57 9 3 0 0 0 0 0 8.57
17 6.4906 59 11 1 0 0 0 0 0 9.09
18 4.3750 49 5 6 0 0 0 0 0 11.20
19 6.1813 45 5 5 0 0 0 0 0 7.28
#482 Bakke, Einar
Division Production Class U Category Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.7666 99 16 6 1 0 1 0 0 32.17
2 5.0989 49 8 3 0 0 0 0 0 9.61
3 4.3639 118 23 1 0 0 0 0 0 27.04
4 3.5425 138 24 6 0 0 2 0 0 33.31
5 3.6796 96 14 8 2 0 0 0 0 26.09
6 3.5714 44 5 6 1 0 0 0 0 12.32
7 4.1846 146 25 7 0 0 0 0 0 34.89
8 3.0984 51 9 2 0 0 0 0 0 16.46
9 3.2000 112 21 2 1 0 0 0 0 35.00
10 2.7448 111 21 2 0 0 0 0 0 40.44
11 2.9412 34 5 3 0 0 1 0 0 8.16
12 2.3310 50 10 0 0 0 2 0 0 12.87
13 3.1293 147 27 4 0 0 1 0 0 43.78
14 3.9103 85 12 7 4 0 1 0 0 19.18
15 1.8496 87 13 6 4 0 1 0 0 41.63
16 5.6133 54 9 3 0 0 0 0 0 9.62
17 4.7098 56 10 2 0 0 0 0 0 11.89
18 3.1922 49 9 1 1 0 0 0 0 15.35
19 3.4521 41 7 2 0 0 1 0 0 8.98
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 41 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#483 Pico, Steen
Division Standard Class U Category Grand Senior Factor Minor Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.5460 94 13 9 2 0 0 0 0 36.92
2 4.2164 53 10 1 0 0 0 0 0 12.57
3 2.6790 116 22 2 0 0 0 0 0 43.30
4 4.1398 154 29 3 0 0 0 0 0 37.20
5 3.3063 110 19 5 0 0 0 0 0 33.27
6 4.8820 60 12 0 0 0 0 0 0 12.29
7 3.9780 152 28 4 0 0 0 0 0 38.21
8 2.9842 51 9 2 0 0 0 0 0 17.09
9 2.8004 110 19 5 0 0 0 0 0 39.28
10 2.5820 111 21 2 0 0 0 0 0 42.99
11 2.2617 38 7 1 0 0 1 0 0 12.38
12 2.6940 50 7 5 0 0 0 0 0 18.56
13 3.5387 145 26 5 0 0 1 0 0 38.15
14 3.8777 104 17 6 1 0 0 0 0 26.82
15 1.2978 85 13 6 2 0 3 0 0 42.38
16 4.2151 58 11 1 0 0 0 0 0 13.76
17 4.0698 56 10 2 0 0 0 0 0 13.76
18 3.4776 49 8 3 0 0 0 0 0 14.09
19 3.7453 40 6 3 1 0 0 0 0 10.68
#491 Johansson, Håkan
Division Open Class U Category Factor Minor Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.0375 112 20 4 0 0 0 0 0 27.74
2 5.2905 51 9 2 0 0 0 0 0 9.64
3 4.3885 108 19 4 1 0 0 0 0 24.61
4 5.2614 158 31 1 0 0 0 0 0 30.03
5 5.1461 118 23 1 0 0 0 0 0 22.93
6 5.7022 54 9 3 0 0 0 0 0 9.47
7 4.9052 150 27 5 0 0 0 0 0 30.58
8 5.1000 51 10 0 1 0 0 0 0 10.00
9 3.5382 114 21 3 0 0 0 0 0 32.22
10 6.0822 111 21 2 0 0 0 0 0 18.25
11 7.6661 45 9 0 0 0 0 0 0 5.87
12 3.4527 54 9 3 0 0 0 0 0 15.64
13 4.5016 140 23 8 1 0 0 0 0 31.10
14 5.5110 110 19 5 0 0 0 0 0 19.96
15 2.8335 106 19 3 2 0 0 0 0 37.41
16 6.0423 60 12 0 0 0 0 0 0 9.93
17 5.3753 58 11 1 0 0 0 0 0 10.79
18 3.9516 49 8 3 0 0 0 0 0 12.40
19 6.2992 48 9 1 0 0 0 0 0 7.62
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 42 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#492 Holmkvist, Frida
Division Open Class U Category Lady Factor Minor Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
4 0.0000 0 0 0 0 0 0 0 0 0.00
5 0.0000 0 0 0 0 0 0 0 0 0.00
6 3.2366 58 11 1 0 0 0 0 0 17.92
7 0.0000 0 0 0 0 0 0 0 0 0.00
9 0.0000 0 0 0 0 0 0 0 0 0.00
11 0.0000 0 0 0 0 0 0 0 0 0.00
12 0.0000 0 0 0 0 0 0 0 0 0.00
13 0.0000 0 0 0 0 0 0 0 0 0.00
15 0.0000 0 0 0 0 0 0 0 0 0.00
16 0.0000 0 0 0 0 0 0 0 0 0.00
17 0.0000 0 0 0 0 0 0 0 0 0.00
18 0.0000 0 0 0 0 0 0 0 0 0.00
19 0.0000 0 0 0 0 0 0 0 0 0.00
#493 Souhuwat, Marcel
Division Production Optics Class U Category Factor Minor Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 5.2390 114 21 3 0 0 0 0 0 21.76
2 7.1014 49 9 1 1 0 0 0 0 6.90
3 5.7539 108 18 6 0 0 0 0 0 18.77
4 5.9325 146 25 7 0 0 0 0 0 24.61
5 5.7113 108 18 6 0 0 0 0 0 18.91
6 7.0423 60 12 0 0 0 0 0 0 8.52
7 5.9653 148 26 6 0 0 0 0 0 24.81
8 4.7343 49 9 1 1 0 0 0 0 10.35
9 4.1123 104 17 6 1 0 0 0 0 25.29
10 5.4398 107 19 4 0 0 0 0 0 19.67
11 6.9243 43 8 1 0 0 0 0 0 6.21
12 3.7975 52 8 4 0 0 0 1 0 11.06
13 5.2446 129 21 7 3 0 1 0 0 22.69
14 6.1958 100 14 10 0 0 0 0 0 16.14
15 3.3826 97 16 5 2 0 1 0 0 25.72
16 7.4906 60 12 0 0 0 0 0 0 8.01
17 6.6445 60 12 0 0 0 0 0 0 9.03
18 4.8023 51 9 2 0 0 0 0 0 10.62
19 7.0470 42 6 4 0 0 0 0 0 5.96
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 43 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#494 Fleischer, Alexander
Division Production Class U Category Factor Minor Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 5.5000 110 21 1 2 0 0 0 0 20.00
2 7.7827 53 10 1 0 0 0 0 0 6.81
3 5.5221 110 19 5 0 0 0 0 0 19.92
4 6.9185 152 28 4 0 0 0 0 0 21.97
5 5.5894 110 19 5 0 0 0 0 0 19.68
6 7.7348 56 10 2 0 0 0 0 0 7.24
7 5.5282 146 26 5 1 0 0 0 0 26.41
8 5.1354 55 11 0 0 0 0 0 0 10.71
9 4.5065 100 14 10 0 0 0 0 0 22.19
10 6.3574 111 21 2 0 0 0 0 0 17.46
11 6.2626 31 5 1 3 0 0 0 0 4.95
12 3.8261 44 6 4 2 0 0 0 0 11.50
13 6.3318 150 28 3 1 0 0 0 0 23.69
14 5.6771 106 18 5 1 0 0 1 0 16.91
15 2.5824 75 9 8 6 0 1 0 0 25.17
16 6.1497 46 5 7 0 0 0 0 0 7.48
17 6.4865 60 12 0 0 0 0 0 0 9.25
18 4.1247 41 4 7 0 0 0 0 0 9.94
19 7.1097 46 8 2 0 0 0 0 0 6.47
#495 Burkatovski, Alexander
Division Standard Class U Category Factor Major Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.9041 115 19 5 0 0 0 0 0 23.45
2 6.7925 54 10 1 0 0 0 0 0 7.95
3 4.8791 117 21 3 0 0 0 0 0 23.98
4 6.2197 151 27 4 0 0 1 0 0 22.67
5 5.2882 111 19 3 2 0 0 0 0 20.99
6 7.2304 59 11 1 0 0 0 0 0 8.16
7 5.5394 152 24 8 0 0 0 0 0 27.44
8 4.4331 52 10 0 1 0 0 0 0 11.73
9 4.3895 110 16 7 1 0 0 0 0 25.06
10 5.3691 112 20 3 0 0 0 0 0 20.86
11 4.7078 39 7 1 0 0 1 0 0 6.16
12 4.4351 52 8 3 0 0 1 0 0 9.47
13 5.4953 152 26 5 1 0 0 0 0 27.66
14 5.2088 111 19 3 2 0 0 0 0 21.31
15 2.8249 100 14 6 3 0 1 0 0 31.86
16 7.2682 58 10 2 0 0 0 0 0 7.98
17 6.4906 59 11 1 0 0 0 0 0 9.09
18 4.7619 54 10 1 0 0 0 0 0 11.34
19 6.0606 48 8 2 0 0 0 0 0 7.92
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 44 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#496 Burkatovski, Ekaterina
Division Open Class U Category Lady Factor Minor Squad 35
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.4998 96 14 8 2 0 0 0 0 27.43
2 5.8486 51 9 2 0 0 0 0 0 8.72
3 4.6696 118 23 1 0 0 0 0 0 25.27
4 5.1895 152 28 4 0 0 0 0 0 29.29
5 4.4731 104 17 6 1 0 0 0 0 23.25
6 4.9850 50 7 5 0 0 0 0 0 10.03
7 3.2278 126 19 10 1 0 2 0 0 32.84
8 4.6248 53 10 1 0 0 0 0 0 11.46
9 3.2871 102 15 9 0 0 0 0 0 31.03
10 4.2226 107 19 4 0 0 0 0 0 25.34
11 5.2972 41 7 2 0 0 0 0 0 7.74
12 4.3716 56 10 2 0 0 0 0 0 12.81
13 3.6328 132 21 9 0 0 2 0 0 30.83
14 4.5947 106 18 5 1 0 0 0 0 23.07
15 1.9483 84 12 7 3 0 2 0 0 32.85
16 5.7911 56 10 2 0 0 0 0 0 9.67
17 3.6825 58 11 1 0 0 0 0 0 15.75
18 2.9703 51 9 2 0 0 0 0 0 17.17
19 4.2239 40 5 5 0 0 0 0 0 9.47
#504 Friis, Brian
Division Production Class U Category Senior Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.0237 97 15 7 1 0 1 0 0 42.99
2 2.5037 44 7 3 0 0 1 0 0 13.58
3 3.3063 102 15 9 0 0 0 0 0 30.85
4 2.7363 128 20 9 1 0 2 0 0 39.47
5 2.1199 90 13 8 1 0 2 0 0 33.02
6 4.5840 54 9 3 0 0 0 0 0 11.78
7 3.8055 144 25 6 1 0 0 0 0 37.84
8 3.4460 53 10 1 0 0 0 0 0 15.38
9 1.9771 96 17 3 2 0 2 0 0 38.44
10 3.2082 104 19 3 0 0 1 0 0 29.30
11 3.7584 38 7 1 0 0 1 0 0 7.45
12 3.1288 52 8 4 0 0 0 0 0 16.62
13 2.7683 134 23 6 1 0 2 0 0 41.18
14 2.3744 86 11 9 4 0 0 0 0 36.22
15 1.1686 80 12 6 2 0 4 0 0 34.23
16 3.1790 56 10 2 0 0 0 1 0 14.47
17 3.0568 56 10 2 0 0 0 0 0 18.32
18 2.3107 47 7 4 0 0 0 0 0 20.34
19 2.3614 33 4 4 1 0 1 0 0 9.74
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 45 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#505 Svendsgaard, Kenneth
Division Production Optics Class U Category Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.4777 102 16 7 1 0 0 0 0 29.33
2 6.2195 51 9 2 0 0 0 0 0 8.20
3 4.0444 102 16 7 1 0 0 0 0 25.22
4 4.6468 150 27 5 0 0 0 0 0 32.28
5 3.4948 98 16 5 3 0 0 1 0 25.18
6 4.7538 56 10 2 0 0 0 0 0 11.78
7 3.8989 128 18 12 2 0 0 0 0 32.83
8 2.0171 50 10 0 0 0 1 0 0 19.83
9 3.3624 104 18 4 2 0 0 0 0 30.93
10 3.9698 105 18 5 0 0 0 0 0 26.45
11 1.0147 29 5 1 1 0 2 0 0 8.87
12 2.8302 49 8 3 0 0 1 0 0 13.78
13 3.7895 131 20 10 1 0 1 0 0 31.93
14 3.5573 90 13 7 4 0 0 0 0 25.30
15 2.0386 96 16 5 1 0 2 0 0 37.28
